Field Label,API Name,Object,Where Used,SF Field Help Text (from Setup),Current Wizard Help Text (hardcoded in LWC),Match?,Setup Link
Ultimate Parent Account,Ultimate_Parent_Account__c,Account,Wizard Pre-check,"Der Ultimate Parent Account ist immer der ""höchste"" Account in einer Account-Hierarchie.","Das Ultimate Parent Account basierend auf der Hierarchie.",MISMATCH,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/00N1v00000SoIgLEAV/view
Parent Account,ParentId,Account,Wizard Pre-check,"Der Parent Account ist immer der Account 1 up in der Account-Hierarchie. Jeder angelegte Sub-Account, der Teil einer Account-Hierarchie ist, muss einen Parent Account hinterlegt haben.","Das übergeordnete Account. Bei Bedarf ändern.",MISMATCH,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/ParentId/view
GTM Motion,GTM_Motion_Account__c,Account,Wizard Pre-check,"Das GTM Motion zeigt an, in welchem Motion (Segment) sich ein Account befindet oder zugeordnet werden sollte. Hier findest du mehr Informationen zu den GTM Motion.","Angezeigter Motion-Wert basierend auf Systemlogik.",MISMATCH,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/00NW70000009DSfMAM/view
Employees,NumberOfEmployees,Account,Wizard Pre-check,"Mitarbeitendenzahl eines Unternehmens. Jeder Account sollte eine Mitarbeitendenanzahl haben, da die Mitarbeiteranzahl eines Unternehmens einen direkten Einfluss auf die Hiring Demand hat, beeinflusst sie die interne Potenzial-Berechnung (Estimated Wallet Size) und somit auch die Zuteilung zur GTM Motion.","Anzahl der Mitarbeiter. Bei Bedarf aktualisieren.",MISMATCH,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/NumberOfEmployees/view
Open Jobs,plOpenJobs__c,Account,Wizard Pre-check,"Dieses Feld erfasst die Gesamtanzahl der aktuell offenen Stellen im gesamten Unternehmen. (Bitte beachte: Es geht nicht um die im Meeting besprochenen Stellen, sondern um die Gesamtzahl aller offenen Positionen, wie sie beispielsweise auf der Karriereseite angegeben sind.)","Anzahl offener Stellen. Bei Bedarf aktualisieren.",MISMATCH,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/00N0Y00000O3WuUUAV/view
Estimated Wallet Size,Estimated_Wallet_Size__c,Account,Wizard Pre-check,"The Estimated Wallet Size is determined based on the Number of Employees, Category 3, Account Record Type, Bookings in the Last 12 Months, and the Estimated Wallet Size Overwrite.","Berechnetes Feld basierend auf Account-Daten. Nicht direkt bearbeitbar.",MISMATCH,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/00N1v00000T5V48EAF/view
Strategical Key Contact,Strategical_Key_Contact__c,Account,Wizard Pre-check,(none),"Suchen Sie einen aktiven Kontakt dieses Accounts.",NO SF HELP,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/00NW7000007mc5NMAQ/view
Key Contact,Key_Contact__c,Account,Wizard Pre-check,(none),"Suchen Sie einen aktiven Kontakt dieses Accounts.",NO SF HELP,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/00NW7000005NJGpMAO/view
Contact - Vorname,FirstName,Contact,Wizard Pre-check (read-only),(standard field),(none - display only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Contact/FieldsAndRelationships/FirstName/view
Contact - Nachname,LastName,Contact,Wizard Pre-check (read-only),(standard field),(none - display only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Contact/FieldsAndRelationships/LastName/view
Contact - E-Mail,Email,Contact,Wizard Pre-check (read-only),(standard field),(none - display only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Contact/FieldsAndRelationships/Email/view
Contact - Telefon,Phone,Contact,Wizard Pre-check (read-only),(standard field),(none - display only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Contact/FieldsAndRelationships/Phone/view
Contact - Titel,Title,Contact,Wizard Pre-check (read-only),(standard field),(none - display only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Contact/FieldsAndRelationships/Title/view
Customer Goals & Expected Outcomes,Customer_Goals__c,Customer_360__c,Wizard Notes,"Kundenziele, erwartete Ergebnisse und gemachte Sales-Zusagen.","Kundenziele, erwartete Ergebnisse und gemachte Sales-Zusagen.",MATCH,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004E0aYEAS/view
Risks / Red Flags,Risks__c,Customer_360__c,Wizard Notes,"Risiken, die die Zusammenarbeit oder die Zielerreichung gefährden (z.B. Verhaltensrisiken, Budgetthemen, interne Blocker).","Risiken, die die Zusammenarbeit oder die Zielerreichung gefährden (z.B. Verhaltensrisiken, Budgetthemen, interne Blocker).",MATCH,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004E0aoEAC/view
Relationship Rating (1-10),Relationship_Rating__c,Customer_360__c,Wizard Notes,"Stabilität und Qualität der Kundenbeziehung bewerten (1 = sehr instabil, 10 = sehr stabil).","Stabilität und Qualität der Kundenbeziehung bewerten. 1 = sehr instabil, 10 = sehr stabil.",PARTIAL - minor formatting diff,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004E0amEAC/view
Relationship Reason,Relationship_Reason__c,Customer_360__c,Wizard Notes,Kurze Begründung für den vergebenen Beziehungswert.,Kurze Begründung für den vergebenen Beziehungswert. Max. 255 Zeichen.,PARTIAL - wizard adds char limit,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004E0anEAC/view
Key Logistics / Operational Notes,Key_Logistics__c,Customer_360__c,Wizard Notes,"Relevante operative Details für Onboarding & Kickoff (Go-Live Timing, Prozesse, ATS-Besonderheiten, Schichtmodelle etc.).","Relevante operative Details für Onboarding & Kickoff (Go-Live Timing, Prozesse, ATS-Besonderheiten, Schichtmodelle etc.).",MATCH,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004E0aiEAC/view
Do's,Dos__c,Customer_360__c,Wizard Notes,"Worauf der Kunde gut reagiert (Kommunikationsstil, Tonalität, bevorzugte Vorgehensweise).","Worauf der Kunde gut reagiert (Kommunikationsstil, Tonalität, bevorzugte Vorgehensweise). Max. 255 Zeichen.",PARTIAL - wizard adds char limit,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004E0acEAC/view
Don'ts,Donts__c,Customer_360__c,Wizard Notes,"Was vermieden werden sollte (No-Go Themen, kritische Trigger, unerwünschte Kommunikationsarten).","Was vermieden werden sollte (No-Go Themen, kritische Trigger, unerwünschte Kommunikationsarten). Max. 255 Zeichen.",PARTIAL - wizard adds char limit,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Customer_360__c/FieldsAndRelationships/00Nbh000004E0abEAC/view
Account Name,Name,Account,Wizard Header,(standard field),(none - display only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Account/FieldsAndRelationships/Name/view
Close Date,CloseDate,Opportunity,Wizard Header,"Das späteste Datum, an dem die Opportunity geschlossen wird. Dieses Datum sollte nie in der Vergangenheit liegen, solange eine Opportunity offen ist.",(none - display only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Opportunity/FieldsAndRelationships/CloseDate/view
Amount,Amount,Opportunity,Wizard Header,"€-Betrag, der für die geplante oder tatsächlich abgeschlossene Höhe des Vertrags steht, der dem/der Kund*in angeboten wurde.",(none - display only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Opportunity/FieldsAndRelationships/Amount/view
Product Type,Product_Type__c,Opportunity,Wizard Header,(none),(none - display only),N/A,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Opportunity/FieldsAndRelationships/00N9L000000OYu7UAG/view
Internal Handover Call geplant,Timestamp_Internal_HO_Call_Scheduled__c,Task,ACM Popup,(none),"Geben Sie das Datum und die Uhrzeit ein, zu der der Internal Handover Call geplant wurde.",NO SF HELP,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Task/FieldsAndRelationships/00Nbh000004Ir8QEAS/view
Internal Handover Call abgeschlossen,Timestamp_Internal_HO_Call_Completed__c,Task,ACM Popup,(none),"Geben Sie das Datum und die Uhrzeit ein, zu der der Internal Handover Call abgeschlossen wurde.",NO SF HELP,https://heyjobs--pilottoacm.sandbox.lightning.force.com/lightning/setup/ObjectManager/Task/FieldsAndRelationships/00Nbh000004IqnSEAS/view
